# EVENTI.DAT
# ID|TIPO|DATA|LUOGO|ID_PERSONA|ID_FAMIGLIA|ID_FONTE|NOTE
E000001|BIRT|1863-09-27|Palermo, Sicilia, Italia|P000001||S000001|IMPORT_RMTREE
E000002|DEAT|||P000001||S000001|IMPORT_RMTREE
E000003|DEAT||Pisa, Toscana, Italia|P000002||S000001|IMPORT_RMTREE
E000004|BIRT|1917-03-08|Roma|P000003||S000001|IMPORT_RMTREE
E000005|DEAT|1978||P000003||S000001|IMPORT_RMTREE
E000006|BIRT||Italia|P000004||S000001|IMPORT_RMTREE
E000007|DEAT|||P000004||S000001|IMPORT_RMTREE
E000008|BIRT|1933||P000005||S000001|IMPORT_RMTREE
E000009|DEAT|1999||P000005||S000001|IMPORT_RMTREE
E000010|BIRT|1921|Italia|P000006||S000001|IMPORT_RMTREE
E000011|DEAT|1943|Arcole|P000006||S000001|IMPORT_RMTREE
E000012|BIRT|1831-01-30|Palermo, Sicilia, Italia|P000007||S000001|IMPORT_RMTREE
E000013|DEAT|||P000007||S000001|IMPORT_RMTREE
E000014|MARR|1856-08-21|Palermo, Palermo, Sicilia, Italia||F000001|S000001|IMPORT_RMTREE
E000015|BIRT|1838-12-01|Palermo, Sicilia, Italia|P000008||S000001|IMPORT_RMTREE
E000016|DEAT|||P000008||S000001|IMPORT_RMTREE
E000017|BIRT|1859-08-31|Palermo, Sicilia, Italia|P000009||S000001|IMPORT_RMTREE
E000018|DEAT|||P000009||S000001|IMPORT_RMTREE
E000019|BIRT|1861-07-05|Palermo, Sicilia, Italia|P000010||S000001|IMPORT_RMTREE
E000020|DEAT|||P000010||S000001|IMPORT_RMTREE
E000021|BIRT|1866-07-05|Palermo, Sicilia, Italia|P000011||S000001|IMPORT_RMTREE
E000022|DEAT|||P000011||S000001|IMPORT_RMTREE
E000023|BIRT|1796|Palermo, Palermo, Regno delle Due Sicilie|P000012||S000001|IMPORT_RMTREE
E000024|DEAT||Palermo, Palermo, Regno delle Due Sicilie|P000012||S000001|IMPORT_RMTREE
E000025|BIRT|1876-06-22|Palermo, Sicilia, Italia|P000013||S000001|IMPORT_RMTREE
E000026|DEAT|||P000013||S000001|IMPORT_RMTREE
E000027|MARR|1814-09-20|Palermo, Palermo, Regno delle Due Sicilie||F000005|S000001|IMPORT_RMTREE
