# FAMIGLIE.DAT
# ID|GEDCOM_ID|COGNOME_FAMIGLIA|ID_HUSB|ID_WIFE|ID_FIGLI|DATA_MATRIMONIO|LUOGO_MATRIMONIO|ID_FONTI|NOTE
F000001|F1|GIARDINA - IACI|P000007|P000008|P000001,P000022,P000009,P000010,P000011,P000018,P000016,P000014,P000013,P000017|1856-08-21|Palermo, Palermo, Sicilia, Italia|S000001|IMPORT_RMTREE
F000002|F2|GIARDINA|P000001|P000004|P000003,P000006,P000002|||S000001|IMPORT_RMTREE
F000003|F3|GIARDINA|P000003|P000005||||S000001|IMPORT_RMTREE
F000004|F4|GIARDINA|P000006|P000019||||S000001|IMPORT_RMTREE
F000005|F5|GIARDINA - NASELLI|P000015|P000012|P000007|1814-09-20|Palermo, Palermo, Regno delle Due Sicilie|S000001|IMPORT_RMTREE
F000006|F6|LIPARI|P000025|P000027|P000008,P000030,P000028,P000037,P000039,P000029,P000031,P000032,P000043,P000038|1838-01-22|Palermo, Palermo, Sicilia, Italia|S000001|IMPORT_RMTREE
F000007|F7|GIARDINA|P000020|P000021|P000015|1775-08-10|Palermo, Palermo, Regno delle Due Sicilie|S000001|IMPORT_RMTREE
F000008|F8|GIARDINA|P000026|P000024|P000020|||S000001|IMPORT_RMTREE
F000009|F9|TAGLIAVIA||P000023|P000021|||S000001|IMPORT_RMTREE
F000010|F10|GIARDINA|P000022|P000033||1884-07-28|Palermo, Palermo, Sicilia, Italia|S000001|IMPORT_RMTREE
F000011|F11|LIPARI|P000036|P000035|P000025,P000047,P000048,P000042,P000045,P000054|||S000001|IMPORT_RMTREE
F000012|F12|GIARDINA|P000040|P000041|P000026,P000051,P000052,P000050|||S000001|IMPORT_RMTREE
F000013|F13|ALBANESE|P000034|P000044|P000027|1810|Palermo, Sicilia, Italy|S000001|IMPORT_RMTREE
F000014|F14|SGARLATA|P000049|P000039||1866-01-27|Palermo, Sicilia, Italia|S000001|IMPORT_RMTREE
F000015|F15|LOMBARDO|P000046|P000038||||S000001|IMPORT_RMTREE
F000016|F16|LIPARI|P000037|P000055||||S000001|IMPORT_RMTREE
F000017|F17|GIARDINA|P000057|P000058|P000040,P000066,P000069|||S000001|IMPORT_RMTREE
F000018|F18|DESCONHECIDO|P000053|P000056|P000041|||S000001|IMPORT_RMTREE
F000019|F19|SGARLATA|P000062|P000043||1870-08-29|Palermo, Sicilia, Italia|S000001|IMPORT_RMTREE
F000020|F20|ALBANESE|P000061|P000044||||S000001|IMPORT_RMTREE
F000021|F21|ALBANESE|P000059|P000044||||S000001|IMPORT_RMTREE
F000022|F22|MAMMANA|P000060|P000045||1846|Palermo, Sicilia, Italy|S000001|IMPORT_RMTREE
F000023|F23|D'AMATO OR AMATO|P000063|P000047||1827-11-22|Palermo, Palermo, Sicilia, Italia|S000001|IMPORT_RMTREE
F000024|F24|LIPARI|P000048|P000067||1835-11-22|Palermo, Sicilia, Italia|S000001|IMPORT_RMTREE
F000025|F25|CHIANELLO|P000070|P000054||1841-09-10|Palermo, Sicilia, Italia|S000001|IMPORT_RMTREE
F000026|F26|GIARDINA|P000064|P000065|P000057|||S000001|IMPORT_RMTREE
F000027|F27|LUCCHESI|P000071|P000068|P000058,P000077,P000085|1644|Palermo, Italy|S000001|IMPORT_RMTREE
F000028|F28|GIARDINA|P000073|P000074|P000064|||S000001|IMPORT_RMTREE
F000029|F29|LA GROTTA GUCCIO|P000076|P000066||1689-11-14|Palermo, Provincia di Palermo, Sicilia, Italia.|S000001|IMPORT_RMTREE
F000030|F30|MARQUET|P000075|P000072|P000065|||S000001|IMPORT_RMTREE
F000031|F31|ALAGONA|P000079|P000078|P000068|1629||S000001|IMPORT_RMTREE
F000032|F32|RIVAROLA|P000083|P000069||||S000001|IMPORT_RMTREE
F000033|F33|LUCCHESI|P000084|P000082|P000071,P000091,P000086|1615||S000001|IMPORT_RMTREE
F000034|F34|MORSO|P000080|P000081|P000074|||S000001|IMPORT_RMTREE
F000035|F35|GIARDINA|P000089|P000088|P000073|||S000001|IMPORT_RMTREE
F000036|F36|MARQUIT|P000092|P000090|P000075|1580-04-08||S000001|IMPORT_RMTREE
F000037|F37|ALAGONA|P000087||P000078|||S000001|IMPORT_RMTREE
F000038|F38|ALAGONA|P000093|P000094|P000079,P000109|||S000001|IMPORT_RMTREE
F000039|F39|LUCCHESI|P000095|P000096|P000084,P000121,P000118|||S000001|IMPORT_RMTREE
F000040|F40|LUCCHESI|P000085|P000103||1690-12-18|Palermo, Italy|S000001|IMPORT_RMTREE
F000041|F41|ALAGONA|P000099|P000097|P000087|||S000001|IMPORT_RMTREE
F000042|F42|CORVINO|P000102|P000112|P000088,P000134|||S000001|IMPORT_RMTREE
F000043|F43|GIARDINA|P000098|P000101|P000089|||S000001|IMPORT_RMTREE
F000044|F44|GIARDINA|P000089|P000100||||S000001|IMPORT_RMTREE
F000045|F45|ABBATE|P000108|P000104|P000090|||S000001|IMPORT_RMTREE
F000046|F46|MARQUET|P000110|P000105|P000092|||S000001|IMPORT_RMTREE
F000047|F47|MARQUIT|P000092|P000106||||S000001|IMPORT_RMTREE
F000048|F48|ALAGONA|P000107|P000111|P000093|||S000001|IMPORT_RMTREE
F000049|F49|LUCCHESI|P000091|P000115||||S000001|IMPORT_RMTREE
F000050|F50|LUCCHESE|P000114|P000113|P000094|||S000001|IMPORT_RMTREE
F000051|F51|LUCCHESI|P000117|P000116|P000095,P000130|||S000001|IMPORT_RMTREE
F000052|F52|LO PORTO|P000124|P000123|P000096,P000138,P000139|||S000001|IMPORT_RMTREE
F000053|F53|ALAGONA|P000119||P000099|||S000001|IMPORT_RMTREE
F000054|F54|DEL CASTILLO|P000120||P000101|||S000001|IMPORT_RMTREE
F000055|F55|CORVINO|P000125|P000122|P000102|||S000001|IMPORT_RMTREE
F000056|F56|MARQUET|P000126|P000127|P000110|||S000001|IMPORT_RMTREE
F000057|F57|ABBATE|P000136|P000129|P000108|||S000001|IMPORT_RMTREE
F000058|F58|BARRESI|P000133|P000132|P000112,P000141,P000142|||S000001|IMPORT_RMTREE
F000059|F59|IBARRA|P000131|P000112||||S000001|IMPORT_RMTREE
F000060|F60|ALAGONA|P000128||P000119|||S000001|IMPORT_RMTREE
F000061|F61|VALDINA|P000135|P000118||||S000001|IMPORT_RMTREE
F000062|F62|LUCCHESI|P000121|P000140||||S000001|IMPORT_RMTREE
F000063|F63|CORVINO|P000137||P000125|||S000001|IMPORT_RMTREE
F000064|F64|CORVINO|P000134|P000143||||S000001|IMPORT_RMTREE
F000065|F65|ABBATE|P000144|P000145|P000136|||S000001|IMPORT_RMTREE
F000066|F66|ABBATE|P000136|P000146||||S000001|IMPORT_RMTREE
F000067|F67|ABBATE|P000147||P000144|||S000001|IMPORT_RMTREE
F000068|F68|ABBATE|P000149|P000148|P000147,P000150|||S000001|IMPORT_RMTREE
F000069|F69|ABBATE|P000151|P000155|P000149|1389|Gaeta, Latina, Lazio, Italy|S000001|IMPORT_RMTREE
F000070|F70|ABBATE|P000150|P000152||||S000001|IMPORT_RMTREE
F000071|F71|ABBATE|P000154|P000153|P000151|||S000001|IMPORT_RMTREE
F000072|F72|CHIARAMONTE|P000159|P000158|P000155,P000165,P000162,P000161|1373||S000001|IMPORT_RMTREE
F000073|F73|ANJOU-DURAZZO|P000160|P000155||||S000001|IMPORT_RMTREE
F000074|F74|DI ALTAVILLA|P000157|P000155||||S000001|IMPORT_RMTREE
F000075|F75|PERALTA|P000156|P000155||||S000001|IMPORT_RMTREE
F000076|F76|DI VENTIMIGLIA|P000176|P000171|P000158,P000177,P000187,P000180,P000188,P000185,P000181,P000183,P000184,P000182|1339||S000001|IMPORT_RMTREE
F000077|F77|CHIARAMONTE|P000166|P000167|P000159,P000169|||S000001|IMPORT_RMTREE
F000078|F78|CHIARAMONTE|P000159|P000163||||S000001|IMPORT_RMTREE
F000079|F79|ABBATELLIS|P000164|P000161||||S000001|IMPORT_RMTREE
F000080|F80|ABBATELLIS|P000168|P000162||1391||S000001|IMPORT_RMTREE
F000081|F81|CHIARAMONTE|P000172|P000170|P000166|||S000001|IMPORT_RMTREE
F000082|F82|PERALTA|P000174|P000165||||S000001|IMPORT_RMTREE
F000083|F83|DE SICILIA "OF TRINACRIA",|P000196|P000191|P000167,P000213,P000212,P000220,P000216,P000217,P000218,P000219,P000214,P000215|1303-05|Messina, Sicily, Italy|S000001|IMPORT_RMTREE
F000084|F84|SCLAFANI|P000173|P000175|P000170|||S000001|IMPORT_RMTREE
F000085|F85|DI LAURIA ENTENZA|P000179|P000178|P000171|||S000001|IMPORT_RMTREE
F000086|F86|DI CHIARAMONTE|P000189|P000190|P000172,P000207,P000211,P000203,P000206|||S000001|IMPORT_RMTREE
F000087|F87|CHIARAMONTE|P000172|P000186||||S000001|IMPORT_RMTREE
F000088|F88|DI VENTIMIGLIA|P000201|P000200|P000176,P000224,P000223,P000225,P000227,P000238,P000230,P000232,P000231,P000235,P000234,P000229,P000233,P000236,P000240,P000241|1315||S000001|IMPORT_RMTREE
F000089|F89|DI VENTIMIGLIA|P000176|P000192||||S000001|IMPORT_RMTREE
F000090|F90|DI LAURIA|P000210|P000204|P000179,P000244,P000246,P000256,P000245,P000247|1285||S000001|IMPORT_RMTREE
F000091|F91|D'ARAGONA|P000193|P000181||||S000001|IMPORT_RMTREE
F000092|F92|CHIAROMONTE|P000194|P000183||||S000001|IMPORT_RMTREE
F000093|F93|CHIARAMONTE VENTIMIGLIA|P000199|P000185||||S000001|IMPORT_RMTREE
F000094|F94|DI VENTIMIGLIA III CONTE DI GOLISANO|P000187|P000198||||S000001|IMPORT_RMTREE
F000095|F95|FARDELLA - MAIDA|P000197|P000184||1419||S000001|IMPORT_RMTREE
F000096|F96|DI VENTIMIGLIA|P000188|P000195||1373||S000001|IMPORT_RMTREE
F000097|F97|DI VENTIMIGLIA|P000188|P000202||1382||S000001|IMPORT_RMTREE
F000098|F98|DI CHIARAMONTE|P000209|P000208|P000189,P000258,P000263,P000259,P000261,P000262|||S000001|IMPORT_RMTREE
F000099|F99|PROFOGLIO|P000205||P000190,P000250,P000248|||S000001|IMPORT_RMTREE
F000100|F100|D'ANJOU|P000239|P000221|P000191,P000275,P000287,P000277,P000281,P000285,P000283,P000296,P000279,P000276,P000290,P000289|1270-05|Naples, Napoli, Campania, Italy|S000001|IMPORT_RMTREE
