# GEDMAP.DAT
# TIPO|GED_ORIGIN_ID|SEQ_ID
FAMIGLIA|F1|F000001
FAMIGLIA|F10|F000010
FAMIGLIA|F100|F000100
FAMIGLIA|F101|F000101
FAMIGLIA|F102|F000102
FAMIGLIA|F103|F000103
FAMIGLIA|F104|F000104
FAMIGLIA|F105|F000105
FAMIGLIA|F106|F000106
FAMIGLIA|F107|F000107
FAMIGLIA|F108|F000108
FAMIGLIA|F109|F000109
FAMIGLIA|F11|F000011
FAMIGLIA|F110|F000110
FAMIGLIA|F111|F000111
FAMIGLIA|F112|F000112
FAMIGLIA|F113|F000113
FAMIGLIA|F114|F000114
FAMIGLIA|F115|F000115
FAMIGLIA|F116|F000116
FAMIGLIA|F117|F000117
FAMIGLIA|F118|F000118
FAMIGLIA|F119|F000119
FAMIGLIA|F12|F000012
FAMIGLIA|F120|F000120
FAMIGLIA|F121|F000121
FAMIGLIA|F122|F000122
FAMIGLIA|F123|F000123
FAMIGLIA|F124|F000124
FAMIGLIA|F125|F000125
FAMIGLIA|F126|F000126
FAMIGLIA|F127|F000127
FAMIGLIA|F128|F000128
FAMIGLIA|F129|F000129
FAMIGLIA|F13|F000013
FAMIGLIA|F130|F000130
FAMIGLIA|F131|F000131
FAMIGLIA|F132|F000132
FAMIGLIA|F133|F000133
FAMIGLIA|F134|F000134
FAMIGLIA|F135|F000135
FAMIGLIA|F136|F000136
FAMIGLIA|F137|F000137
FAMIGLIA|F138|F000138
FAMIGLIA|F139|F000139
FAMIGLIA|F14|F000014
FAMIGLIA|F140|F000140
FAMIGLIA|F141|F000141
FAMIGLIA|F142|F000142
FAMIGLIA|F143|F000143
FAMIGLIA|F144|F000144
FAMIGLIA|F145|F000145
FAMIGLIA|F146|F000146
FAMIGLIA|F147|F000147
FAMIGLIA|F148|F000148
FAMIGLIA|F149|F000149
FAMIGLIA|F15|F000015
FAMIGLIA|F150|F000150
FAMIGLIA|F151|F000151
FAMIGLIA|F152|F000152
FAMIGLIA|F153|F000153
FAMIGLIA|F154|F000154
FAMIGLIA|F155|F000155
FAMIGLIA|F156|F000156
FAMIGLIA|F157|F000157
FAMIGLIA|F158|F000158
FAMIGLIA|F159|F000159
FAMIGLIA|F16|F000016
FAMIGLIA|F160|F000160
FAMIGLIA|F161|F000161
FAMIGLIA|F162|F000162
FAMIGLIA|F163|F000163
FAMIGLIA|F164|F000164
FAMIGLIA|F165|F000165
FAMIGLIA|F166|F000166
FAMIGLIA|F167|F000167
FAMIGLIA|F168|F000168
FAMIGLIA|F169|F000169
FAMIGLIA|F17|F000017
FAMIGLIA|F170|F000170
FAMIGLIA|F171|F000171
FAMIGLIA|F172|F000172
FAMIGLIA|F173|F000173
FAMIGLIA|F174|F000174
FAMIGLIA|F175|F000175
FAMIGLIA|F176|F000176
FAMIGLIA|F177|F000177
FAMIGLIA|F178|F000178
FAMIGLIA|F179|F000179
FAMIGLIA|F18|F000018
FAMIGLIA|F180|F000180
FAMIGLIA|F181|F000181
FAMIGLIA|F182|F000182
FAMIGLIA|F183|F000183
FAMIGLIA|F184|F000184
FAMIGLIA|F185|F000185
FAMIGLIA|F186|F000186
FAMIGLIA|F187|F000187
FAMIGLIA|F188|F000188
FAMIGLIA|F189|F000189
FAMIGLIA|F19|F000019
FAMIGLIA|F190|F000190
FAMIGLIA|F191|F000191
FAMIGLIA|F192|F000192
FAMIGLIA|F193|F000193
FAMIGLIA|F194|F000194
FAMIGLIA|F195|F000195
FAMIGLIA|F196|F000196
FAMIGLIA|F197|F000197
FAMIGLIA|F198|F000198
FAMIGLIA|F199|F000199
FAMIGLIA|F2|F000002
FAMIGLIA|F20|F000020
FAMIGLIA|F200|F000200
FAMIGLIA|F201|F000201
FAMIGLIA|F202|F000202
FAMIGLIA|F203|F000203
FAMIGLIA|F204|F000204
FAMIGLIA|F205|F000205
FAMIGLIA|F206|F000206
FAMIGLIA|F207|F000207
FAMIGLIA|F208|F000208
FAMIGLIA|F209|F000209
FAMIGLIA|F21|F000021
FAMIGLIA|F210|F000210
FAMIGLIA|F211|F000211
FAMIGLIA|F22|F000022
FAMIGLIA|F23|F000023
FAMIGLIA|F24|F000024
FAMIGLIA|F25|F000025
FAMIGLIA|F26|F000026
FAMIGLIA|F27|F000027
FAMIGLIA|F28|F000028
FAMIGLIA|F29|F000029
FAMIGLIA|F3|F000003
FAMIGLIA|F30|F000030
FAMIGLIA|F31|F000031
FAMIGLIA|F32|F000032
FAMIGLIA|F33|F000033
FAMIGLIA|F34|F000034
FAMIGLIA|F35|F000035
FAMIGLIA|F36|F000036
FAMIGLIA|F37|F000037
FAMIGLIA|F38|F000038
FAMIGLIA|F39|F000039
FAMIGLIA|F4|F000004
FAMIGLIA|F40|F000040
FAMIGLIA|F41|F000041
FAMIGLIA|F42|F000042
FAMIGLIA|F43|F000043
FAMIGLIA|F44|F000044
FAMIGLIA|F45|F000045
FAMIGLIA|F46|F000046
FAMIGLIA|F47|F000047
FAMIGLIA|F48|F000048
FAMIGLIA|F49|F000049
FAMIGLIA|F5|F000005
FAMIGLIA|F50|F000050
FAMIGLIA|F51|F000051
FAMIGLIA|F52|F000052
FAMIGLIA|F53|F000053
FAMIGLIA|F54|F000054
FAMIGLIA|F55|F000055
FAMIGLIA|F56|F000056
FAMIGLIA|F57|F000057
FAMIGLIA|F58|F000058
FAMIGLIA|F59|F000059
FAMIGLIA|F6|F000006
FAMIGLIA|F60|F000060
FAMIGLIA|F61|F000061
FAMIGLIA|F62|F000062
FAMIGLIA|F63|F000063
FAMIGLIA|F64|F000064
FAMIGLIA|F65|F000065
FAMIGLIA|F66|F000066
FAMIGLIA|F67|F000067
FAMIGLIA|F68|F000068
FAMIGLIA|F69|F000069
FAMIGLIA|F7|F000007
FAMIGLIA|F70|F000070
FAMIGLIA|F71|F000071
FAMIGLIA|F72|F000072
FAMIGLIA|F73|F000073
FAMIGLIA|F74|F000074
FAMIGLIA|F75|F000075
FAMIGLIA|F76|F000076
FAMIGLIA|F77|F000077
FAMIGLIA|F78|F000078
FAMIGLIA|F79|F000079
FAMIGLIA|F8|F000008
FAMIGLIA|F80|F000080
FAMIGLIA|F81|F000081
FAMIGLIA|F82|F000082
FAMIGLIA|F83|F000083
FAMIGLIA|F84|F000084
FAMIGLIA|F85|F000085
FAMIGLIA|F86|F000086
FAMIGLIA|F87|F000087
FAMIGLIA|F88|F000088
FAMIGLIA|F89|F000089
FAMIGLIA|F9|F000009
FAMIGLIA|F90|F000090
FAMIGLIA|F91|F000091
FAMIGLIA|F92|F000092
FAMIGLIA|F93|F000093
FAMIGLIA|F94|F000094
FAMIGLIA|F95|F000095
FAMIGLIA|F96|F000096
FAMIGLIA|F97|F000097
FAMIGLIA|F98|F000098
FAMIGLIA|F99|F000099
PERSONA|I1|P000001
PERSONA|I10|P000010
PERSONA|I100|P000100
PERSONA|I101|P000101
PERSONA|I102|P000102
PERSONA|I103|P000103
PERSONA|I104|P000104
PERSONA|I105|P000105
PERSONA|I106|P000106
PERSONA|I107|P000107
PERSONA|I108|P000108
PERSONA|I109|P000109
PERSONA|I11|P000011
PERSONA|I110|P000110
PERSONA|I111|P000111
PERSONA|I112|P000112
PERSONA|I113|P000113
PERSONA|I114|P000114
PERSONA|I115|P000115
PERSONA|I116|P000116
PERSONA|I117|P000117
PERSONA|I118|P000118
PERSONA|I119|P000119
PERSONA|I12|P000012
PERSONA|I120|P000120
PERSONA|I121|P000121
PERSONA|I122|P000122
PERSONA|I123|P000123
PERSONA|I124|P000124
PERSONA|I125|P000125
PERSONA|I126|P000126
PERSONA|I127|P000127
PERSONA|I128|P000128
PERSONA|I129|P000129
PERSONA|I13|P000013
PERSONA|I130|P000130
PERSONA|I131|P000131
PERSONA|I132|P000132
PERSONA|I133|P000133
PERSONA|I134|P000134
PERSONA|I135|P000135
PERSONA|I136|P000136
PERSONA|I137|P000137
PERSONA|I138|P000138
PERSONA|I139|P000139
PERSONA|I14|P000014
PERSONA|I140|P000140
PERSONA|I141|P000141
PERSONA|I142|P000142
PERSONA|I143|P000143
PERSONA|I144|P000144
PERSONA|I145|P000145
PERSONA|I146|P000146
PERSONA|I147|P000147
PERSONA|I148|P000148
PERSONA|I149|P000149
PERSONA|I15|P000015
PERSONA|I150|P000150
PERSONA|I151|P000151
PERSONA|I152|P000152
PERSONA|I153|P000153
PERSONA|I154|P000154
PERSONA|I155|P000155
PERSONA|I156|P000156
PERSONA|I157|P000157
PERSONA|I158|P000158
PERSONA|I159|P000159
PERSONA|I16|P000016
PERSONA|I160|P000160
PERSONA|I161|P000161
PERSONA|I162|P000162
PERSONA|I163|P000163
PERSONA|I164|P000164
PERSONA|I165|P000165
PERSONA|I166|P000166
PERSONA|I167|P000167
PERSONA|I168|P000168
PERSONA|I169|P000169
PERSONA|I17|P000017
PERSONA|I170|P000170
PERSONA|I171|P000171
PERSONA|I172|P000172
PERSONA|I173|P000173
PERSONA|I174|P000174
PERSONA|I175|P000175
PERSONA|I176|P000176
PERSONA|I177|P000177
PERSONA|I178|P000178
PERSONA|I179|P000179
PERSONA|I18|P000018
PERSONA|I180|P000180
PERSONA|I181|P000181
PERSONA|I182|P000182
PERSONA|I183|P000183
PERSONA|I184|P000184
PERSONA|I185|P000185
PERSONA|I186|P000186
PERSONA|I187|P000187
PERSONA|I188|P000188
PERSONA|I189|P000189
PERSONA|I19|P000019
PERSONA|I190|P000190
PERSONA|I191|P000191
PERSONA|I192|P000192
PERSONA|I193|P000193
PERSONA|I194|P000194
